date_from,date_to,area_m2,mean_delta_db,zone_id,zone_name,change_type
20250411,20250411,17100.0,0.019,0,Outside,Background_Change
20250411,20250411,12200.0,0.014,0,Outside,Background_Change
20250411,20250411,12400.0,0.018,0,Outside,Background_Change
20250411,20250411,12900.0,0.018,0,Outside,Background_Change
20250411,20250411,14800.0,0.02,0,Outside,Background_Change
20250411,20250411,41700.0,0.032,0,Outside,Background_Change
20250411,20250411,10300.0,0.019,0,Outside,Background_Change
20250411,20250411,10800.0,0.022,0,Outside,Background_Change
20250411,20250411,22000.0,0.019,0,Outside,Background_Change
20250411,20250411,19600.0,0.01,0,Outside,Background_Change
20250411,20250411,11900.0,0.014,0,Outside,Background_Change
20250411,20250411,12000.0,0.016,0,Outside,Background_Change
20250411,20250411,16500.0,0.01,0,Outside,Background_Change
20250411,20250411,18700.0,0.021,0,Outside,Background_Change
20250411,20250411,13800.0,0.037,0,Outside,Background_Change
20250411,20250411,11000.0,0.02,0,Outside,Background_Change
20250411,20250411,10100.0,0.015,0,Outside,Background_Change
20250411,20250411,12600.0,0.019,0,Outside,Background_Change
20250411,20250411,21400.0,0.016,0,Outside,Background_Change
20250411,20250411,28200.0,0.016,0,Outside,Background_Change
20250411,20250411,34000.0,0.019,0,Outside,Background_Change
20250411,20250411,10600.0,0.017,0,Outside,Background_Change
20250411,20250411,10000.0,0.019,0,Outside,Background_Change
20250411,20250411,13100.0,0.013,0,Outside,Background_Change
20250411,20250411,12400.0,0.018,0,Outside,Background_Change
20250411,20250411,11100.0,0.019,0,Outside,Background_Change
20250411,20250411,12200.0,0.034,0,Outside,Background_Change
20250411,20250411,10700.0,0.017,0,Outside,Background_Change
20250411,20250411,11600.0,0.02,0,Outside,Background_Change
20250411,20250411,10000.0,0.014,0,Outside,Background_Change
20250411,20250411,12200.0,0.022,0,Outside,Background_Change
20250411,20250411,13500.0,0.021,0,Outside,Background_Change
20250411,20250411,15100.0,0.026,0,Outside,Background_Change
20250411,20250411,10400.0,0.016,0,Outside,Background_Change
20250411,20250411,15500.0,0.021,0,Outside,Background_Change
20250411,20250411,11900.0,0.022,0,Outside,Background_Change
20250411,20250411,20900.0,0.032,0,Outside,Background_Change
20250411,20250411,11500.0,0.008,0,Outside,Background_Change
20250411,20250411,13300.0,0.018,0,Outside,Background_Change
